Lambda/m,Lambda/nm,E/eV,Solar per nm/W*m^-2*nm^-1,Solar per E/W*m^-2*eV^-1
2.95E-07,295.0,4.203,1.2290E-05,8.6288E-04
2.95E-07,294.5,4.211,6.5911E-06,4.6119E-04
2.94E-07,294.0,4.218,4.1744E-06,2.9110E-04
2.94E-07,293.5,4.225,2.2707E-06,1.5781E-04
2.93E-07,293.0,4.232,8.6466E-07,5.9887E-05
2.93E-07,292.5,4.239,4.2685E-07,2.9463E-05
2.92E-07,292.0,4.247,2.6830E-07,1.8456E-05
2.92E-07,291.5,4.254,1.0913E-07,7.4813E-06
2.91E-07,291.0,4.261,3.5052E-08,2.3947E-06
2.91E-07,290.5,4.269,1.3783E-08,9.3840E-07
2.90E-07,290.0,4.276,6.0168E-09,4.0824E-07
2.90E-07,289.5,4.283,2.0749E-09,1.4030E-07
2.89E-07,289.0,4.291,5.6265E-10,3.7913E-08
2.89E-07,288.5,4.298,1.7162E-10,1.1524E-08
2.88E-07,288.0,4.306,6.2337E-11,4.1714E-09
2.88E-07,287.5,4.313,1.0903E-11,7.2707E-10
2.87E-07,287.0,4.321,2.7367E-12,1.8186E-10
2.87E-07,286.5,4.328,8.3823E-13,5.5509E-11
2.86E-07,286.0,4.336,1.3684E-13,9.0302E-12
2.86E-07,285.5,4.343,4.2613E-14,2.8023E-12
2.85E-07,285.0,4.351,8.0142E-15,5.2517E-13
2.85E-07,284.5,4.359,2.4856E-15,1.6231E-13
2.84E-07,284.0,4.366,7.2670E-16,4.7287E-14
2.84E-07,283.5,4.374,3.5360E-17,2.2928E-15
2.83E-07,283.0,4.382,1.8452E-17,1.1923E-15
2.83E-07,282.5,4.389,4.5436E-18,2.9254E-16
2.82E-07,282.0,4.397,1.1946E-18,7.6643E-17
2.82E-07,281.5,4.405,1.5662E-19,1.0013E-17
2.81E-07,281.0,4.413,5.6895E-21,3.6244E-19
2.80E-07,280.0,4.429,4.7309E-23,2.9924E-21
